# docs-check — mechanical link and command verification (T-0048, NewcomerDocs)

Generated: 2026-09-12 against this checkout (no network, no inference).

Method. Every relative markdown link in the listed files was resolved against the
filesystem from the file's own directory (the same rule `cargo xtask release-check`'s
`links` item applies: inline `[label](target)` with paren-depth matching, plus
`[label]: target` reference definitions; `#anchor` stripped; external
`http(s)://` and `mailto:` skipped). Every `arreo <verb>` and `cargo xtask <cmd>`
appearing in code spans or fenced blocks was checked against the dispatch it names:
`arreo` verbs against `crates/arreo-cli/src/main.rs`'s `usage()` + `match verb` arms
(plus `machines.rs` `usage()` for `machines` subcommands); `cargo xtask` against
`xtask/src/main.rs`'s top-level match; `--slice` names against the `e2e()` slice arms;
`cargo` subcommands against cargo itself (`build/test/clippy/fmt/vet/audit/deny/run/check/install`);
`cargo dist` is the external cargo-dist tool pinned in `[workspace.metadata.dist]`.

Ground truth on this checkout:
- CLI verbs: record replay metrics read wait split panes spawn attach send service server
  audit devices pair machines (+ subcommands: devices id|list|issue|rotate|revoke|authorize,
| README.md | `docs/relay-protocol.md` | EXISTS | - |
| README.md | `docs/release.md` | EXISTS | - |
| README.md | `docs/tour.md` | EXISTS | - |
| README.md | `specs/adr/` | EXISTS | - |
| docs/agent-skill.md | `arreo attach` | EXISTS | - |
| docs/agent-skill.md | `arreo metrics` | EXISTS | - |
| docs/agent-skill.md | `arreo panes` | EXISTS | - |
| docs/agent-skill.md | `arreo read` | EXISTS | - |
| docs/agent-skill.md | `arreo send` | EXISTS | - |
| docs/agent-skill.md | `arreo server` | EXISTS | - |
| docs/agent-skill.md | `arreo spawn` | EXISTS | - |
| docs/agent-skill.md | `arreo split` | EXISTS | - |
| docs/agent-skill.md | `arreo wait` | EXISTS | - |
| docs/audit.md | `arreo audit` | EXISTS | - |
| docs/audit.md | `arreo machines` | EXISTS | - |
| docs/audit.md | `arreo send` | EXISTS | - |
| docs/audit.md | `arreo spawn` | EXISTS | - |
| docs/conpty-windows.md | `cargo run` | EXISTS | - |
| docs/conpty-windows.md | `cargo xtask conpty-smoke` | EXISTS | - |
| docs/cross-os.md | `cargo check` | EXISTS | - |
| docs/cross-os.md | `cargo xtask check-targets` | EXISTS | - |
| docs/machines.md | `../specs/adr/0018-machine-join-handoff.md` | EXISTS | - |
| docs/machines.md | `../specs/adr/0019-per-machine-device-trust.md` | EXISTS | - |
| docs/machines.md | `arreo devices` | EXISTS | - |
| docs/machines.md | `arreo machines` | EXISTS | - |
| docs/machines.md | `arreo pair` | EXISTS | - |
| docs/relay-deploy.md | `arreo audit` | EXISTS | - |
| docs/relay-deploy.md | `arreo devices` | EXISTS | - |
| docs/relay-deploy.md | `arreo machines` | EXISTS | - |
| docs/relay-deploy.md | `arreo pair` | EXISTS | - |
| docs/relay-deploy.md | `arreo spawn` | EXISTS | - |
| docs/release.md | `cargo build` | EXISTS | - |
| docs/release.md | `cargo dist` | EXISTS | - |
| docs/release.md | `cargo xtask package` | EXISTS | - |
| docs/release.md | `tour.md` | EXISTS | - |
| docs/tour.md | `../AGENTS.md` | EXISTS | - |
| docs/tour.md | `../CONTRIBUTING.md` | EXISTS | - |
| docs/tour.md | `../ROADMAP.md` | EXISTS | - |
| docs/tour.md | `../specs/adr/` | EXISTS | - |
| docs/tour.md | `../tasks/README.md` | EXISTS | - |
| docs/tour.md | `agent-skill.md` | EXISTS | - |
| docs/tour.md | `arreo attach` | EXISTS | - |
| docs/tour.md | `arreo audit` | EXISTS | - |
| docs/tour.md | `arreo machines` | EXISTS | - |
| docs/tour.md | `arreo pair` | EXISTS | - |
| docs/tour.md | `arreo read` | EXISTS | - |
| docs/tour.md | `arreo send` | EXISTS | - |
| docs/tour.md | `arreo server` | EXISTS | - |
| docs/tour.md | `arreo service` | EXISTS | - |
| docs/tour.md | `arreo spawn` | EXISTS | - |
| docs/tour.md | `arreo wait` | EXISTS | - |
| docs/tour.md | `audit.md` | EXISTS | - |
| docs/tour.md | `cargo build` | EXISTS | - |
| docs/tour.md | `cargo check` | EXISTS | - |
| docs/tour.md | `cargo run` | EXISTS | - |
| docs/tour.md | `cargo xtask adapters` | EXISTS | - |
| docs/tour.md | `cargo xtask bench` | EXISTS | - |
| docs/tour.md | `cargo xtask check-targets` | EXISTS | - |
| docs/tour.md | `cargo xtask conpty-smoke` | EXISTS | - |
| docs/tour.md | `cargo xtask demo` | EXISTS | - |
| docs/tour.md | `cargo xtask e2e` | EXISTS | - |
| docs/tour.md | `cargo xtask package` | EXISTS | - |
| docs/tour.md | `cargo xtask release-check` | EXISTS | - |
| docs/tour.md | `conpty-windows.md` | EXISTS | - |
| docs/tour.md | `cross-os.md` | EXISTS | - |
| docs/tour.md | `machines.md` | EXISTS | - |
| docs/tour.md | `relay-deploy.md` | EXISTS | - |
| docs/tour.md | `relay-protocol.md` | EXISTS | - |
| docs/tour.md | `release.md` | EXISTS | - |

